persona,dependent_variable,independent_variable,aic,bic,random_effects_var,summary
Statistical Purist,incdiff_c,migstock_un,,,,"          Mixed Linear Model Regression Results
==========================================================
Model:             MixedLM Dependent Variable: incdiff_c  
No. Observations:  71266   Method:             REML       
No. Groups:        19      Scale:              0.8475     
Min. group size:   1898    Log-Likelihood:     -95290.8166
Max. group size:   7597    Converged:          Yes        
Mean group size:   3750.8                                 
----------------------------------------------------------
                Coef.  Std.Err.   z    P>|z| [0.025 0.975]
----------------------------------------------------------
Intercept        2.891    0.057 50.632 0.000  2.779  3.003
C(year)[T.2006]  0.108    0.009 11.940 0.000  0.090  0.125
C(year)[T.2016]  0.196    0.011 18.172 0.000  0.175  0.217
migstock_un     -0.073    0.010 -7.210 0.000 -0.093 -0.053
Group Var        0.061    0.022                           
==========================================================
"
Statistical Purist,incdiff_c,netmigpct,,,,"          Mixed Linear Model Regression Results
==========================================================
Model:             MixedLM Dependent Variable: incdiff_c  
No. Observations:  71266   Method:             REML       
No. Groups:        19      Scale:              0.8474     
Min. group size:   1898    Log-Likelihood:     -95288.7497
Max. group size:   7597    Converged:          Yes        
Mean group size:   3750.8                                 
----------------------------------------------------------
                Coef.  Std.Err.   z    P>|z| [0.025 0.975]
----------------------------------------------------------
Intercept        2.904    0.060 48.657 0.000  2.787  3.021
C(year)[T.2006]  0.100    0.009 11.522 0.000  0.083  0.117
C(year)[T.2016]  0.160    0.009 17.655 0.000  0.143  0.178
netmigpct       -0.044    0.006 -7.554 0.000 -0.056 -0.033
Group Var        0.067    0.024                           
==========================================================
"
Statistical Purist,incdiff_c,wdi_unempilo,,,,"          Mixed Linear Model Regression Results
=========================================================
Model:            MixedLM Dependent Variable: incdiff_c  
No. Observations: 71266   Method:             REML       
No. Groups:       19      Scale:              0.8481     
Min. group size:  1898    Log-Likelihood:     -95317.0981
Max. group size:  7597    Converged:          Yes        
Mean group size:  3750.8                                 
---------------------------------------------------------
                Coef. Std.Err.   z    P>|z| [0.025 0.975]
---------------------------------------------------------
Intercept       2.916    0.063 46.458 0.000  2.793  3.039
C(year)[T.2006] 0.085    0.010  8.566 0.000  0.066  0.105
C(year)[T.2016] 0.154    0.010 15.967 0.000  0.135  0.173
wdi_unempilo    0.000    0.007  0.066 0.947 -0.013  0.014
Group Var       0.074    0.027                           
=========================================================
"
Statistical Purist,incdiff_c,socx_oecd,,,,"          Mixed Linear Model Regression Results
==========================================================
Model:             MixedLM Dependent Variable: incdiff_c  
No. Observations:  71266   Method:             REML       
No. Groups:        19      Scale:              0.8481     
Min. group size:   1898    Log-Likelihood:     -95316.7381
Max. group size:   7597    Converged:          Yes        
Mean group size:   3750.8                                 
----------------------------------------------------------
                Coef.  Std.Err.   z    P>|z| [0.025 0.975]
----------------------------------------------------------
Intercept        2.916    0.063 46.408 0.000  2.792  3.039
C(year)[T.2006]  0.085    0.009  9.640 0.000  0.068  0.102
C(year)[T.2016]  0.154    0.011 13.989 0.000  0.133  0.176
socx_oecd       -0.001    0.010 -0.085 0.932 -0.020  0.018
Group Var        0.074    0.027                           
==========================================================
"
Statistical Purist,incdiff_c,gdp_oecd,,,,"          Mixed Linear Model Regression Results
==========================================================
Model:             MixedLM Dependent Variable: incdiff_c  
No. Observations:  71266   Method:             REML       
No. Groups:        19      Scale:              0.8481     
Min. group size:   1898    Log-Likelihood:     -95316.0883
Max. group size:   7597    Converged:          Yes        
Mean group size:   3750.8                                 
----------------------------------------------------------
                Coef.  Std.Err.   z    P>|z| [0.025 0.975]
----------------------------------------------------------
Intercept        2.905    0.063 46.169 0.000  2.782  3.028
C(year)[T.2006]  0.096    0.016  6.009 0.000  0.065  0.128
C(year)[T.2016]  0.173    0.025  6.947 0.000  0.124  0.222
gdp_oecd        -0.011    0.013 -0.841 0.401 -0.037  0.015
Group Var        0.071    0.026                           
==========================================================
"
Statistical Purist,jobs_c,migstock_un,,,,"           Mixed Linear Model Regression Results
===========================================================
Model:              MixedLM Dependent Variable: jobs_c     
No. Observations:   71266   Method:             REML       
No. Groups:         19      Scale:              0.1971     
Min. group size:    1898    Log-Likelihood:     -43302.3828
Max. group size:    7597    Converged:          Yes        
Mean group size:    3750.8                                 
-----------------------------------------------------------
                Coef.  Std.Err.    z    P>|z| [0.025 0.975]
-----------------------------------------------------------
Intercept        0.062    0.013   4.907 0.000  0.037  0.087
C(year)[T.2006] -0.069    0.004 -15.688 0.000 -0.078 -0.060
C(year)[T.2016] -0.116    0.005 -21.702 0.000 -0.127 -0.106
migstock_un      0.052    0.005   9.924 0.000  0.042  0.063
Group Var        0.003    0.002                            
===========================================================
"
Statistical Purist,jobs_c,netmigpct,,,,"           Mixed Linear Model Regression Results
===========================================================
Model:              MixedLM Dependent Variable: jobs_c     
No. Observations:   71266   Method:             REML       
No. Groups:         19      Scale:              0.1975     
Min. group size:    1898    Log-Likelihood:     -43347.0851
Max. group size:    7597    Converged:          Yes        
Mean group size:    3750.8                                 
-----------------------------------------------------------
                Coef.  Std.Err.    z    P>|z| [0.025 0.975]
-----------------------------------------------------------
Intercept        0.042    0.003  12.047 0.000  0.035  0.048
C(year)[T.2006] -0.050    0.004 -11.735 0.000 -0.058 -0.042
C(year)[T.2016] -0.082    0.005 -17.753 0.000 -0.091 -0.073
netmigpct       -0.000    0.002  -0.026 0.979 -0.004  0.004
Group Var        0.000    0.000                            
===========================================================
"
Statistical Purist,jobs_c,wdi_unempilo,,,,"           Mixed Linear Model Regression Results
===========================================================
Model:              MixedLM Dependent Variable: jobs_c     
No. Observations:   71266   Method:             REML       
No. Groups:         19      Scale:              0.1973     
Min. group size:    1898    Log-Likelihood:     -43327.3357
Max. group size:    7597    Converged:          Yes        
Mean group size:    3750.8                                 
-----------------------------------------------------------
                Coef.  Std.Err.    z    P>|z| [0.025 0.975]
-----------------------------------------------------------
Intercept        0.035    0.005   6.423 0.000  0.024  0.045
C(year)[T.2006] -0.037    0.005  -7.837 0.000 -0.047 -0.028
C(year)[T.2016] -0.075    0.005 -16.502 0.000 -0.084 -0.066
wdi_unempilo     0.020    0.003   5.690 0.000  0.013  0.027
Group Var        0.000    0.000                            
===========================================================
"
Statistical Purist,jobs_c,socx_oecd,,,,"           Mixed Linear Model Regression Results
===========================================================
Model:              MixedLM Dependent Variable: jobs_c     
No. Observations:   71266   Method:             REML       
No. Groups:         19      Scale:              0.1975     
Min. group size:    1898    Log-Likelihood:     -43344.5232
Max. group size:    7597    Converged:          Yes        
Mean group size:    3750.8                                 
-----------------------------------------------------------
                Coef.  Std.Err.    z    P>|z| [0.025 0.975]
-----------------------------------------------------------
Intercept        0.044    0.004  12.242 0.000  0.037  0.050
C(year)[T.2006] -0.052    0.004 -12.198 0.000 -0.060 -0.043
C(year)[T.2016] -0.085    0.005 -17.169 0.000 -0.095 -0.076
socx_oecd        0.005    0.002   2.072 0.038  0.000  0.010
Group Var        0.000    0.000                            
===========================================================
"
Statistical Purist,jobs_c,gdp_oecd,,,,"          Mixed Linear Model Regression Results
==========================================================
Model:             MixedLM Dependent Variable: jobs_c     
No. Observations:  71266   Method:             REML       
No. Groups:        19      Scale:              0.1973     
Min. group size:   1898    Log-Likelihood:     -43331.8197
Max. group size:   7597    Converged:          Yes        
Mean group size:   3750.8                                 
----------------------------------------------------------
                Coef.  Std.Err.   z    P>|z| [0.025 0.975]
----------------------------------------------------------
Intercept        0.010    0.010  0.945 0.345 -0.010  0.030
C(year)[T.2006] -0.016    0.009 -1.757 0.079 -0.033  0.002
C(year)[T.2016] -0.022    0.014 -1.574 0.116 -0.050  0.005
gdp_oecd        -0.037    0.008 -4.670 0.000 -0.052 -0.021
Group Var        0.001    0.001                           
==========================================================
"
