u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
1,2,3.0,4.0,8.0,1,3.0,3.0,4.0,2.0,2.0,-0.28130074954973566,-0.17769020761247245,0.8831852289111356,0.10230203224474622,2.0,2.0,4.0,5.0,0
10,3,1.0,4.0,6.0,1,2.0,3.0,2.0,3.0,5.0,-0.1850484448845249,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,3.0,4.0,4.0,0
100,4,1.0,5.0,3.0,1,2.0,3.0,5.0,5.0,5.0,0.19996077377631807,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,3.0,5.0,4.0,4.0,0
101,4,2.0,4.0,7.0,1,2.0,3.0,3.0,3.0,5.0,-0.2331745972171303,1.1274137310584462,-0.4701849420102447,0.10230203224474622,2.0,5.0,4.0,5.0,1
102,2,1.0,3.0,2.0,1,2.0,3.0,2.0,2.0,5.0,-0.32942690188234103,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,5.0,4.0,5.0,0
103,2,1.0,2.0,1.0,2,2.0,3.0,4.0,4.0,5.0,0.05558231677850195,1.1274137310584462,-0.4701849420102447,1.3840863186053893,2.0,5.0,4.0,5.0,0
104,2,1.0,3.0,4.0,1,2.0,4.0,2.0,1.0,2.0,-0.13692229255191954,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,2.0,2.0,4.0,4.0,0
105,5,1.0,4.0,3.0,1,3.0,3.0,2.0,2.0,4.0,-0.13692229255191954,1.1274137310584462,0.8831852289111356,-1.179482254115897,3.0,3.0,4.0,3.0,0
106,3,3.0,4.0,12.0,0,2.0,3.0,1.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
107,3,1.0,3.0,1.0,1,2.0,3.0,4.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
108,3,1.0,4.0,1.0,2,2.0,3.0,3.0,3.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
109,2,1.0,3.0,3.0,1,2.0,2.0,2.0,2.0,4.0,-0.28130074954973566,-1.4827941462833911,-0.4701849420102447,0.10230203224474622,3.0,3.0,3.0,4.0,0
11,0,1.0,4.0,2.0,1,2.0,3.0,2.0,3.0,4.0,-0.1850484448845249,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,2.0,2.0,4.0,1
110,2,1.0,3.0,3.0,2,3.0,2.0,4.0,5.0,4.0,0.29621307844152883,-1.4827941462833911,-0.4701849420102447,0.10230203224474622,2.0,4.0,3.0,5.0,0
111,3,2.0,3.0,1.0,1,2.0,3.0,5.0,5.0,4.0,-0.13692229255191954,-0.17769020761247245,-0.4701849420102447,0.10230203224474622,2.0,4.0,4.0,4.0,0
112,3,3.0,5.0,1.0,1,2.0,3.0,4.0,4.0,1.0,-0.28130074954973566,-1.4827941462833911,-0.4701849420102447,-1.179482254115897,2.0,2.0,2.0,2.0,0
113,2,3.0,4.0,2.0,2,3.0,3.0,1.0,2.0,1.0,-0.08879614021931417,1.1274137310584462,-0.4701849420102447,-1.179482254115897,3.0,4.0,5.0,3.0,0
114,2,1.0,4.0,1.0,1,2.0,2.0,2.0,2.0,3.0,-0.32942690188234103,-0.17769020761247245,-0.4701849420102447,-1.179482254115897,2.0,5.0,4.0,4.0,1
