u_id,backgr_degree,v_18,backgr_exp_famil_mlm,backgr_exp_teach_stat,belief_H1_1,belief_H1_2,belief_H1_3,belief_certainty_1,belief_certainty_2,belief_certainty_3,v_33,v_98,v_99,v_100,v_41,v_88,v_90,v_94,v_110
1,3.0,3.0,4.0,8.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0
10,4.0,1.0,4.0,6.0,2.0,2.0,3.0,2.0,3.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,4.0,,1.0
100,5.0,1.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,14.0,3.0,1.0,1.0,3.0,5.0,4.0,4.0,1.0
101,5.0,2.0,4.0,7.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0,5.0,2.0
102,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0
103,3.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,11.0,4.0,1.0,3.0,2.0,5.0,4.0,5.0,1.0
104,3.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0
105,6.0,1.0,4.0,3.0,2.0,3.0,,2.0,2.0,,7.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0
106,4.0,3.0,4.0,12.0,1.0,,,1.0,,,,,,,,,,,
107,4.0,1.0,3.0,1.0,2.0,,,4.0,,,,,,,,,,,
108,4.0,1.0,4.0,1.0,3.0,,,3.0,,,,,,,,,,,
109,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0
11,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0
110,3.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,16.0,2.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0
111,4.0,2.0,3.0,1.0,2.0,2.0,,5.0,5.0,,7.0,,,,2.0,,,,
112,4.0,3.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
113,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,8.0,4.0,1.0,1.0,3.0,4.0,5.0,3.0,1.0
114,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,2.0
115,,,,,,,,,,,,,,,,,,,
116,5.0,3.0,4.0,12.0,2.0,2.0,2.0,4.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0
117,5.0,1.0,5.0,1.0,3.0,2.0,,4.0,4.0,,5.0,,,,2.0,,,,
118,3.0,1.0,5.0,4.0,2.0,2.0,,4.0,2.0,,6.0,,,,2.0,,,,
119,7.0,3.0,3.0,1.0,2.0,2.0,,4.0,4.0,,5.0,,,,2.0,,,,
12,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,7.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0
120,3.0,1.0,4.0,1.0,2.0,3.0,2.0,6.0,5.0,6.0,30.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0
121,4.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,6.0,4.0,1.0,3.0,2.0,4.0,5.0,4.0,2.0
122,3.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,5.0,5.0,10.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,2.0
123,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,15.0,4.0,1.0,2.0,2.0,2.0,5.0,4.0,1.0
124,5.0,1.0,3.0,3.0,2.0,2.0,,5.0,5.0,,300.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,1.0
125,3.0,3.0,4.0,9.0,2.0,2.0,3.0,2.0,2.0,4.0,6.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
