dependent_variable,specification,effect_type,beta,p_value,AIC,BIC
jobs_c,,Stock,-0.004248447095716588,0.03402032535832449,181555.74515169504,181756.88140996083
jobs_c,wdi_unempilo +,Stock,-0.00556757816212471,0.005571882598452009,181478.79879105045,181689.07760651014
jobs_c,socx_oecd +,Stock,-0.003946100290447254,0.07982144431183702,166006.06952899572,166205.09532218732
jobs_c,gdp_oecd +,Stock,-0.0051561754886450765,0.019159692732920047,181556.75058073856,181767.02939619825
jobs_c,netmigpct +,Stock,-0.0007118645929729745,0.7336261243932211,181523.12126011727,181733.40007557697
jobs_c,wdi_unempilo + socx_oecd +,Stock,-0.0049869822175084046,0.026982509304680213,165935.58884455528,166143.66126471013
jobs_c,wdi_unempilo + gdp_oecd +,Stock,-0.007837630205654226,0.0004133174190021817,181475.01710934844,181694.43848200204
jobs_c,socx_oecd + gdp_oecd +,Stock,-0.005867471192439757,0.012576460670503194,165999.93262662552,166208.00504678037
jobs_c,netmigpct + wdi_unempilo +,Stock,-0.005915216048152501,0.008048434651848029,181480.6712827764,181700.09265543
jobs_c,netmigpct + socx_oecd +,Stock,-0.0003806633176450941,0.8733590161297015,165987.90411239682,166195.97653255166
jobs_c,netmigpct + gdp_oecd +,Stock,-0.002948438749411475,0.18544412029534665,181516.53076124477,181735.95213389836
unemp_c,,Stock,0.010493649155396405,2.5512036838815127e-09,160413.3443432026,160614.22454054296
unemp_c,wdi_unempilo +,Stock,0.00966201243117916,4.392606517731033e-08,160370.28674813977,160580.29786354105
unemp_c,socx_oecd +,Stock,0.011641628995220121,2.147963971461275e-09,144680.1423075271,144878.92016805243
unemp_c,gdp_oecd +,Stock,0.011395030903038006,3.6429684789543628e-09,160414.0512822431,160624.0623976444
unemp_c,netmigpct +,Stock,0.015127921463449183,1.83530481366441e-16,160337.96675847966,160547.97787388094
unemp_c,wdi_unempilo + socx_oecd +,Stock,0.010925958315034873,2.000047476890877e-08,144636.48028281252,144844.29350063446
unemp_c,wdi_unempilo + gdp_oecd +,Stock,0.00975027857310833,5.485553820770447e-07,160372.27519524537,160591.41722870758
unemp_c,socx_oecd + gdp_oecd +,Stock,0.010624805744533103,1.5831734033441278e-07,144678.96466568214,144886.77788350408
unemp_c,netmigpct + wdi_unempilo +,Stock,0.014534917201802042,1.128782036126154e-13,160339.19442907104,160558.33646253325
unemp_c,netmigpct + socx_oecd +,Stock,0.016313566801308157,2.4144498519128233e-15,144635.1683001941,144842.98151801605
unemp_c,netmigpct + gdp_oecd +,Stock,0.014050867598444374,6.366243277827019e-13,160337.3290047971,160556.4710382593
incdiff_c,,Stock,-0.013123852112982849,3.998694619392442e-10,184229.51120542208,184430.41653163114
incdiff_c,wdi_unempilo +,Stock,-0.013693774450240967,7.466668932665907e-11,184215.84612593107,184425.88351242236
incdiff_c,socx_oecd +,Stock,-0.01528135391383046,6.144073342101078e-11,167385.7642535055,167584.55168811325
incdiff_c,gdp_oecd +,Stock,-0.013109053434191557,1.2752172454023522e-08,184231.51096348529,184441.54834997657
incdiff_c,netmigpct +,Stock,-0.01003587514349449,4.6229594876745835e-06,184207.5194530118,184417.5568395031
incdiff_c,wdi_unempilo + socx_oecd +,Stock,-0.015720997331815038,1.8233379541816158e-11,167375.1158943589,167582.9391214488
incdiff_c,wdi_unempilo + gdp_oecd +,Stock,-0.014292803017596471,7.594081191443337e-10,184217.47681671896,184436.6462634925
incdiff_c,socx_oecd + gdp_oecd +,Stock,-0.0156853780178188,1.2546647699232933e-10,167387.42853923922,167595.25176632914
incdiff_c,netmigpct + wdi_unempilo +,Stock,-0.0106771640588969,4.6700080417246935e-06,184208.8744344945,184428.04388126804
incdiff_c,netmigpct + socx_oecd +,Stock,-0.012620629744704834,3.482421167529229e-07,167377.30772646322,167585.13095355313
incdiff_c,netmigpct + gdp_oecd +,Stock,-0.011266146011308405,1.3497149408548186e-06,184207.1405990405,184426.31004581403
oldage_c,,Stock,0.008029848107914513,3.5039290347084805e-10,123776.3415167341,123978.0137996271
oldage_c,wdi_unempilo +,Stock,0.007645237426659893,2.5252952571318484e-09,123760.52760832805,123971.36681317071
oldage_c,socx_oecd +,Stock,0.0005625109917057333,0.6906397553583354,111121.46632357962,111321.0318298766
oldage_c,gdp_oecd +,Stock,0.0055653842195808115,7.555925084839047e-05,123760.47485248097,123971.31405732363
oldage_c,netmigpct +,Stock,0.00867896552937017,8.145118668022267e-11,123775.45957949915,123986.29878434181
oldage_c,wdi_unempilo + socx_oecd +,Stock,0.00026169850730275334,0.853290677999315,111107.18955112065,111315.82621679477
oldage_c,wdi_unempilo + gdp_oecd +,Stock,0.004651253634880193,0.0010369346967656061,123738.01596423062,123958.02209102297
oldage_c,socx_oecd + gdp_oecd +,Stock,3.373796867968946e-06,0.998174694116558,111121.70226850161,111330.33893417573
oldage_c,netmigpct + wdi_unempilo +,Stock,0.006614446957307426,3.3234520810324885e-06,123759.7172002666,123979.72332705895
oldage_c,netmigpct + socx_oecd +,Stock,0.00045196176342813225,0.7629389216639009,111123.41694497684,111332.05361065095
